,0
label_Automotive,1
label_Automotive>Auto Body Styles,0
label_Automotive>Auto Body Styles>Off-Road Vehicles,0
label_Automotive>Auto Body Styles>SUV,0
label_Automotive>Auto Body Styles>Sedan,0
label_Automotive>Auto Body Styles>Van,0
label_Automotive>Auto Buying and Selling,1
label_Automotive>Auto Insurance,0
label_Automotive>Auto Parts,0
label_Automotive>Auto Rentals,0
label_Automotive>Auto Repair,0
label_Automotive>Auto Safety,0
label_Automotive>Auto Shows,0
label_Automotive>Auto Technology,0
label_Automotive>Auto Type>Classic Cars,0
label_Automotive>Auto Type>Driverless Cars,0
label_Automotive>Auto Type>Green Vehicles,0
label_Automotive>Car Culture,1
label_Automotive>Motorcycles,0
label_Automotive>Scooters,0
label_Books and Literature,1
label_Books and Literature>Art and Photography Books,0
label_Books and Literature>Children's Literature,0
label_Books and Literature>Poetry,1
label_Books and Literature>Travel Books,0
label_Business And Finance>Business>Consumer Issues>Recalls,0
label_Business And Finance>Business>Executive Leadership & Management,0
label_Business And Finance>Business>Government Business,0
label_Business And Finance>Business>Green Solutions,0
label_Business and Finance,1
label_Business and Finance>Business,0
label_Business and Finance>Business>Business Accounting & Finance,0
label_Business and Finance>Business>Business Administration,0
label_Business and Finance>Business>Business Banking & Finance>Angel Investment,0
label_Business and Finance>Business>Business Banking & Finance>Bankruptcy,0
label_Business and Finance>Business>Business Operations,1
label_Business and Finance>Business>Human Resources,2
label_Business and Finance>Business>Large Business,0
label_Business and Finance>Business>Logistics,0
label_Business and Finance>Business>Marketing and Advertising,0
label_Business and Finance>Business>Sales,2
label_Business and Finance>Business>Startups,0
label_Business and Finance>Economy>Commodities,0
label_Business and Finance>Economy>Currencies,2
label_Business and Finance>Economy>Housing Market,0
label_Business and Finance>Industries,1
label_Business and Finance>Industries>Advertising Industry,0
label_Business and Finance>Industries>Agriculture,0
label_Business and Finance>Industries>Apparel Industry,0
label_Business and Finance>Industries>Automotive Industry,1
label_Business and Finance>Industries>Aviation Industry,2
label_Business and Finance>Industries>Biotech and Biomedical Industry,0
label_Business and Finance>Industries>Civil Engineering Industry,0
label_Business and Finance>Industries>Construction Industry,1
label_Business and Finance>Industries>Defense Industry,0
label_Business and Finance>Industries>Education industry,0
label_Business and Finance>Industries>Entertainment Industry,1
label_Business and Finance>Industries>Financial Industry,0
label_Business and Finance>Industries>Food Industry,0
label_Business and Finance>Industries>Healthcare Industry,0
label_Business and Finance>Industries>Hospitality Industry,5
label_Business and Finance>Industries>Legal Services Industry,0
label_Business and Finance>Industries>Logistics and Transportation Industry,4
label_Business and Finance>Industries>Management Consulting Industry,0
label_Business and Finance>Industries>Manufacturing Industry,1
label_Business and Finance>Industries>Mechanical and Industrial Engineering Industry,0
label_Business and Finance>Industries>Media Industry,0
label_Business and Finance>Industries>Pharmaceutical Industry,0
label_Business and Finance>Industries>Power and Energy Industry,1
label_Business and Finance>Industries>Publishing Industry,4
label_Business and Finance>Industries>Retail Industry,15
label_Business and Finance>Industries>Technology Industry,0
label_Business and Finance>Industries>Telecommunications Industry,0
label_Careers,0
label_Careers>Apprenticeships,0
label_Careers>Career Planning,0
label_Careers>Job Search,0
label_Education,8
label_Education>College Education,0
label_Education>College Education>Postgraduate Education,0
label_Education>College Education>Postgraduate Education>Professional School,0
label_Education>Early Childhood Education,0
label_Education>Educational Assessment>Standardized Testing,0
label_Education>Homeschooling,0
label_Education>Homework and Study,0
label_Education>Language Learning,0
label_Education>Primary Education,0
label_Education>Private School,0
label_Education>Secondary Education,0
label_Events and Attractions,0
label_Events and Attractions>Amusement and Theme Parks,1
label_Events and Attractions>Bars & Restaurants,116
label_Events and Attractions>Business Expos & Conferences,0
label_Events and Attractions>Casinos & Gambling,0
label_Events and Attractions>Cinemas and Events,0
label_Events and Attractions>Concerts & Music Events,1
label_Events and Attractions>Malls & Shopping Centers,0
label_Events and Attractions>Museums & Galleries,2
label_Events and Attractions>Musicals,0
label_Events and Attractions>National & Civic Holidays,1
label_Events and Attractions>Nightclubs,4
label_Events and Attractions>Outdoor Activities,0
label_Events and Attractions>Personal Celebrations and Life Events>Anniversary,0
label_Events and Attractions>Personal Celebrations and Life Events>Birthday,0
label_Events and Attractions>Personal Celebrations and Life Events>Funeral,0
label_Events and Attractions>Personal Celebrations and Life Events>Graduation,0
label_Events and Attractions>Personal Celebrations and Life Events>Prom,0
label_Events and Attractions>Personal Celebrations and Life Events>Wedding,0
label_Events and Attractions>Political Event,0
label_Events and Attractions>Sporting Events,0
label_Events and Attractions>Theater Venues and Events,0
label_Events and Attractions>Zoos & Aquariums,1
label_Family and Relationships,0
label_Family and Relationships>Dating,0
label_Family and Relationships>Marriage and Civil Unions,0
label_Family and Relationships>Parenting,0
label_Family and Relationships>Parenting>Adoption and Fostering,0
label_Family and Relationships>Parenting>Daycare and Pre-School,0
label_Family and Relationships>Parenting>Parenting Babies and Toddlers,0
label_Family and Relationships>Parenting>Parenting Children Aged 4-11,0
label_Family and Relationships>Single Life,0
label_Fine Art,2
label_Fine Art>Dance,0
label_Fine Art>Fine Art Photography,0
label_Fine Art>Modern Art,0
label_Fine Art>Opera,0
label_Fine Art>Theater,1
label_Food & Drink,0
label_Food & Drink>Alcoholic Beverages,2
label_Food & Drink>Barbecues and Grilling,2
label_Food & Drink>Cooking,0
label_Food & Drink>Desserts and Baking,4
label_Food & Drink>Dining Out,113
label_Food & Drink>Healthy Cooking and Eating,0
label_Food & Drink>Non-Alcoholic Beverages,9
label_Food & Drink>Vegetarian Diets,0
label_Food & Drink>World Cuisines,7
label_Healthy Living,1
label_Healthy Living>Children's Health,0
label_Healthy Living>Fitness and Exercise,0
label_Healthy Living>Fitness and Exercise>Running and Jogging,0
label_Healthy Living>Nutrition,0
label_Healthy Living>Weight Loss,0
label_Healthy Living>Wellness,0
label_Healthy Living>Women's Health,0
label_Hobbies & Interests,0
label_Hobbies & Interests>Antiquing and Antiques,0
label_Hobbies & Interests>Arts and Crafts,0
label_Hobbies & Interests>Arts and Crafts>Drawing and Sketching,0
label_Hobbies & Interests>Arts and Crafts>Needlework,0
label_Hobbies & Interests>Arts and Crafts>Painting,1
label_Hobbies & Interests>Arts and Crafts>Photography,1
label_Hobbies & Interests>Arts and Crafts>Scrapbooking,0
label_Hobbies & Interests>Arts and Crafts>Woodworking,0
label_Hobbies & Interests>Birdwatching,0
label_Hobbies & Interests>Cigars,0
label_Hobbies & Interests>Collecting,0
label_Hobbies & Interests>Content Production>Video Production,0
label_Hobbies & Interests>Games and Puzzles,0
label_Hobbies & Interests>Games and Puzzles>Board Games and Puzzles,1
label_Hobbies & Interests>Games and Puzzles>Card Games,0
label_Hobbies & Interests>Games and Puzzles>Roleplaying Games,0
label_Hobbies & Interests>Genealogy and Ancestry,0
label_Hobbies & Interests>Musical Instruments,0
label_Hobbies & Interests>Radio Control,0
label_Hobbies & Interests>Sci-fi and Fantasy,0
label_Hobbies & Interests>Workshops and Classes,0
label_Home & Garden,5
label_Home & Garden>Gardening,0
label_Home & Garden>Home Appliances,1
label_Home & Garden>Home Entertaining,0
label_Home & Garden>Home Improvement,0
label_Home & Garden>Interior Decorating,0
label_Home & Garden>Landscaping,0
label_Medical Health,0
label_Medical Health>Diseases and Conditions,2
label_Medical Health>Diseases and Conditions>Allergies,0
label_Medical Health>Diseases and Conditions>Blood Disorders,0
label_Medical Health>Diseases and Conditions>Brain and Nervous System Disorders,0
label_Medical Health>Diseases and Conditions>Cancer,0
label_Medical Health>Diseases and Conditions>Cold and Flu,0
label_Medical Health>Diseases and Conditions>Dental Health,0
label_Medical Health>Diseases and Conditions>Digestive Disorders,0
label_Medical Health>Diseases and Conditions>Infectious Diseases,0
label_Medical Health>Diseases and Conditions>Injuries,0
label_Medical Health>Diseases and Conditions>Injuries>First Aid,0
label_Medical Health>Diseases and Conditions>Lung and Respiratory Health,0
label_Medical Health>Diseases and Conditions>Mental Health,0
label_Medical Health>Diseases and Conditions>Reproductive Health,0
label_Medical Health>Diseases and Conditions>Sexual Health,0
label_Medical Health>Diseases and Conditions>Sleep Disorders,0
label_Medical Health>Pharmaceutical Drugs,1
label_Medical Health>Surgery,0
label_Medical Health>Vaccines,0
label_Movies,3
label_Movies>World Movies,0
label_Music and Audio,2
label_Music and Audio>Children's Music,0
label_Music and Audio>Classical Music,0
label_Music and Audio>Dance and Electronic Music,0
label_Music and Audio>World/International Music,0
label_News and Politics,1
label_News and Politics>Crime,0
label_News and Politics>Disasters,0
label_News and Politics>International News,1
label_News and Politics>Law,0
label_News and Politics>Local News,0
label_News and Politics>National News,0
label_News and Politics>Politics,0
label_News and Politics>Politics>Elections,0
label_News and Politics>Politics>Political Issues,1
label_News and Politics>Politics>War and Conflicts,0
label_News and Politics>Weather,4
label_Personal Finance>Financial Assistance>Government Support and Welfare,0
label_Personal Finance>Home Utilities>Water Services,0
label_Personal Finance>Insurance,0
label_Personal Finance>Insurance>Health Insurance,0
label_Personal Finance>Insurance>Motor Insurance,0
label_Personal Finance>Insurance>Travel Insurance,0
label_Personal Finance>Personal Debt,0
label_Personal Finance>Personal Debt>Credit Cards,0
label_Personal Finance>Personal Debt>Home Financing,0
label_Personal Finance>Personal Investing,0
label_Personal Finance>Personal Investing>Hedge Funds,0
label_Pets,0
label_Pets>Cats,1
label_Pets>Dogs,0
label_Pets>Large Animals,0
label_Pets>Pet Supplies,0
label_Pets>Reptiles,0
label_Pets>Veterinary Medicine,0
label_Pop Culture,2
label_Pop Culture>Celebrity Families,0
label_Pop Culture>Celebrity Scandal,0
label_Real Estate,0
label_Real Estate>Apartments,1
label_Real Estate>Developmental Sites,0
label_Real Estate>Land and Farms,0
label_Real Estate>Real Estate Buying and Selling,0
label_Religion & Spirituality,0
label_Religion & Spirituality>Buddhism,0
label_Religion & Spirituality>Christianity,0
label_Religion & Spirituality>Hinduism,0
label_Religion & Spirituality>Islam,0
label_Religion & Spirituality>Judaism,0
label_Science,1
label_Science>Biological Sciences,0
label_Science>Chemistry,0
label_Science>Environment,6
label_Science>Genetics,0
label_Science>Geography,0
label_Science>Geology,0
label_Science>Physics,0
label_Science>Space and Astronomy,0
label_Shopping,12
label_Shopping>Coupons and Discounts,0
label_Shopping>Flower Shopping,0
label_Shopping>Gifts and Greetings Cards,0
label_Shopping>Grocery Shopping,0
label_Shopping>Holiday Shopping,0
label_Shopping>Sales and Promotions,1
label_Sports,2
label_Sports>Auto Racing,0
label_Sports>Badminton,0
label_Sports>Basketball,0
label_Sports>Bodybuilding,0
label_Sports>Bowling,0
label_Sports>Boxing,0
label_Sports>College Sports,0
label_Sports>Cycling,1
label_Sports>Diving,0
label_Sports>Equine Sports,0
label_Sports>Equine Sports>Horse Racing,0
label_Sports>Extreme Sports>Canoeing and Kayaking,0
label_Sports>Extreme Sports>Climbing,0
label_Sports>Extreme Sports>Scuba Diving,0
label_Sports>Extreme Sports>Skateboarding,0
label_Sports>Extreme Sports>Surfing and Bodyboarding,0
label_Sports>Extreme Sports>Waterskiing and Wakeboarding,0
label_Sports>Figure Skating,0
label_Sports>Fishing Sports,0
label_Sports>Golf,0
label_Sports>Gymnastics,0
label_Sports>Hunting and Shooting,0
label_Sports>Ice Hockey,0
label_Sports>Martial Arts,0
label_Sports>Olympic Sports,0
label_Sports>Poker and Professional Gambling,0
label_Sports>Rowing,0
label_Sports>Skiing,0
label_Sports>Soccer,0
label_Sports>Swimming,0
label_Sports>Table Tennis,0
label_Sports>Tennis,0
label_Sports>Track and Field,0
label_Sports>Volleyball,0
label_Style & Fashion,0
label_Style & Fashion>Beauty,0
label_Style & Fashion>Beauty>Hair Care,0
label_Style & Fashion>Beauty>Makeup and Accessories,0
label_Style & Fashion>Beauty>Natural and Organic Beauty,0
label_Style & Fashion>Beauty>Perfume and Fragrance,0
label_Style & Fashion>Beauty>Skin Care,0
label_Style & Fashion>Designer Clothing,0
label_Style & Fashion>High Fashion,0
label_Style & Fashion>Men's Fashion>Men's Accessories,0
label_Style & Fashion>Men's Fashion>Men's Accessories>Men's Jewellery and Watches,0
label_Style & Fashion>Men's Fashion>Men's Clothing,0
label_Style & Fashion>Personal Care>Bath and Shower,0
label_Style & Fashion>Personal Care>Shaving,0
label_Style & Fashion>Women's Fashion,0
label_Style & Fashion>Women's Fashion>Women's Accessories,0
label_Style & Fashion>Women's Fashion>Women's Accessories>Women's Jewellery and Watches,0
label_Style & Fashion>Women's Fashion>Women's Clothing>Women's Intimates and Sleepwear,0
label_Technology & Computing,2
label_Technology & Computing>Artificial Intelligence,1
label_Technology & Computing>Augmented Reality,0
label_Technology & Computing>Computing,0
label_Technology & Computing>Computing>Computer Peripherals,2
label_Technology & Computing>Computing>Computer Software and Applications>Browsers,0
label_Technology & Computing>Computing>Computer Software and Applications>Digital Audio,0
label_Technology & Computing>Computing>Computer Software and Applications>Operating Systems,0
label_Technology & Computing>Computing>Computer Software and Applications>Video Software,0
label_Technology & Computing>Computing>Computer Software and Applications>Web Conferencing,0
label_Technology & Computing>Computing>Desktops,0
label_Technology & Computing>Computing>Information and Network Security,0
label_Technology & Computing>Computing>Internet,0
label_Technology & Computing>Computing>Internet>Cloud Computing,0
label_Technology & Computing>Computing>Internet>Search,2
label_Technology & Computing>Computing>Internet>Social Networking,0
label_Technology & Computing>Computing>Programming Languages,0
label_Technology & Computing>Consumer Electronics,4
label_Technology & Computing>Consumer Electronics>Cameras and Camcorders,0
label_Technology & Computing>Consumer Electronics>Smartphones,0
label_Technology & Computing>Consumer Electronics>Tablets and E-readers,0
label_Technology & Computing>Robotics,0
label_Technology & Computing>Virtual Reality,0
label_Television,0
label_Television>Animation TV,0
label_Television>Drama TV,0
label_Television>Factual TV,0
label_Television>Music TV,0
label_Travel,21
label_Travel>Travel Accessories,0
label_Travel>Travel Locations,0
label_Travel>Travel Locations>Africa Travel,0
label_Travel>Travel Locations>Asia Travel,10
label_Travel>Travel Locations>Australia and Oceania Travel,0
label_Travel>Travel Locations>Europe Travel,2
label_Travel>Travel Locations>North America Travel,12
label_Travel>Travel Locations>Polar Travel,0
label_Travel>Travel Locations>South America Travel,0
label_Travel>Travel Preparation and Advice,4
label_Travel>Travel Type,1
label_Travel>Travel Type>Adventure Travel,0
label_Travel>Travel Type>Air Travel,0
label_Travel>Travel Type>Bed & Breakfasts,0
label_Travel>Travel Type>Budget Travel,1
label_Travel>Travel Type>Business Travel,0
label_Travel>Travel Type>Camping,0
label_Travel>Travel Type>Cruises,0
label_Travel>Travel Type>Day Trips,0
label_Travel>Travel Type>Family Travel,1
label_Travel>Travel Type>Honeymoons and Getaways,0
label_Travel>Travel Type>Hotels and Motels,8
label_Travel>Travel Type>Rail Travel,0
label_Travel>Travel Type>Road Trips,0
label_Travel>Travel Type>Spas,0
label_Video Gaming,1
label_Video Gaming>Video Game Genres>Adventure Video Games,0
label_Video Gaming>Video Game Genres>Casual Games,0
label_Video Gaming>Video Game Genres>MMOs,0
label_Video Gaming>Video Game Genres>Role-Playing Video Games,0
